mode,nb_digits,e,t,custom_type,custom_count,double_count,runtime,status,setting_json,error
sig,1,11,1,"flx::floatx<11, 1>",7,8,103.084241,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 1>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,2,"flx::floatx<11, 2>",7,8,101.841033,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 2>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,3,"flx::floatx<11, 3>",7,8,101.940953,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 3>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,4,"flx::floatx<11, 4>",7,8,102.452228,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 4>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,5,"flx::floatx<11, 5>",7,8,101.708936,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 5>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,6,"flx::floatx<11, 6>",7,8,101.390194,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 6>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,7,"flx::floatx<11, 7>",7,8,102.173250,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 7>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,8,"flx::floatx<11, 8>",7,8,102.154638,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 8>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,9,"flx::floatx<11, 9>",7,8,101.600686,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 9>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
sig,1,11,10,"flx::floatx<11, 10>",7,8,101.694356,ok,"{""double"": [""1"", ""2"", ""2"", ""3"", ""4"", ""5"", ""5"", ""6""], ""flx::floatx<11, 10>"": [""0"", ""1"", ""3"", ""4"", ""6"", ""7"", ""8""]}",
