mode,nb_digits,e,t,custom_type,custom_count,double_count,runtime,status,setting_json,error
sig,1,11,1,"flx::floatx<11, 1>",18,13,69.633355,ok,"{""double"": [""0"", ""1"", ""10"", ""11"", ""2"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""9""], ""flx::floatx<11, 1>"": [""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]}",
sig,1,11,2,"flx::floatx<11, 2>",31,0,13.384154,ok,"{""flx::floatx<11, 2>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,3,"flx::floatx<11, 3>",31,0,13.336157,ok,"{""flx::floatx<11, 3>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,4,"flx::floatx<11, 4>",31,0,13.377858,ok,"{""flx::floatx<11, 4>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,5,"flx::floatx<11, 5>",31,0,13.356813,ok,"{""flx::floatx<11, 5>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,6,"flx::floatx<11, 6>",31,0,13.366685,ok,"{""flx::floatx<11, 6>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,7,"flx::floatx<11, 7>",31,0,13.289942,ok,"{""flx::floatx<11, 7>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,8,"flx::floatx<11, 8>",31,0,13.335147,ok,"{""flx::floatx<11, 8>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,9,"flx::floatx<11, 9>",31,0,13.317727,ok,"{""flx::floatx<11, 9>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,10,"flx::floatx<11, 10>",31,0,13.304043,ok,"{""flx::floatx<11, 10>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,11,"flx::floatx<11, 11>",31,0,13.305547,ok,"{""flx::floatx<11, 11>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,12,"flx::floatx<11, 12>",31,0,13.346447,ok,"{""flx::floatx<11, 12>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,13,"flx::floatx<11, 13>",31,0,13.336779,ok,"{""flx::floatx<11, 13>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,14,"flx::floatx<11, 14>",31,0,13.344534,ok,"{""flx::floatx<11, 14>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,15,"flx::floatx<11, 15>",31,0,13.278998,ok,"{""flx::floatx<11, 15>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,16,"flx::floatx<11, 16>",31,0,13.300664,ok,"{""flx::floatx<11, 16>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,17,"flx::floatx<11, 17>",31,0,13.357538,ok,"{""flx::floatx<11, 17>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,18,"flx::floatx<11, 18>",31,0,13.366052,ok,"{""flx::floatx<11, 18>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,19,"flx::floatx<11, 19>",31,0,13.319509,ok,"{""flx::floatx<11, 19>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,20,"flx::floatx<11, 20>",31,0,13.298668,ok,"{""flx::floatx<11, 20>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,21,"flx::floatx<11, 21>",31,0,13.341747,ok,"{""flx::floatx<11, 21>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,22,"flx::floatx<11, 22>",31,0,13.307167,ok,"{""flx::floatx<11, 22>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,23,"flx::floatx<11, 23>",31,0,13.349917,ok,"{""flx::floatx<11, 23>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,24,"flx::floatx<11, 24>",31,0,13.319750,ok,"{""flx::floatx<11, 24>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,25,"flx::floatx<11, 25>",31,0,13.325591,ok,"{""flx::floatx<11, 25>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,26,"flx::floatx<11, 26>",31,0,13.312656,ok,"{""flx::floatx<11, 26>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,27,"flx::floatx<11, 27>",31,0,13.310567,ok,"{""flx::floatx<11, 27>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,28,"flx::floatx<11, 28>",31,0,13.351611,ok,"{""flx::floatx<11, 28>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,29,"flx::floatx<11, 29>",31,0,13.306077,ok,"{""flx::floatx<11, 29>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,30,"flx::floatx<11, 30>",31,0,13.290423,ok,"{""flx::floatx<11, 30>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
sig,1,11,31,"flx::floatx<11, 31>",31,0,13.328469,ok,"{""flx::floatx<11, 31>"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""3"", ""30"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]}",
