benchmark,case,precision,input_size,time_ms,time_ms_stddev,time_ms_min,time_ms_max,time_ms_runs,device_allocation_bytes,device_allocation_mib,speedup_vs_double,speedup_vs_double_stddev,time_ratio_vs_double,time_ratio_vs_double_stddev,memory_ratio_vs_double,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,warmup_runs,measured_runs
backprop,double,double,65536,5.0706624,0.00750020885,5.06064,5.081408,5,18351240,17.501106,1,0,1,0,1,,,,,1,5
dense_lu,double,double,5000,397.676446,1.68679599,395.983337,399.546356,5,200020016,190.753952,1,0,1,0,1,6.307961e-15,6.322394e-15,0,0,1,5
hotspot,double,double,512x512x2,0.1081856,0.00576050664,0.102848,0.117056,5,6291456,6,1,0,1,0,1,,,,,1,5
backprop,digit1_1,mixed,65536,5.044416,0.00616899084,5.035328,5.050208,5,10551952,10.063126,1.00520306,0.00192920909,0.994823872,0.00190928911,0.574999401,,,,,1,5
backprop,digit1_2,mixed,65536,5.0530368,0.00464234975,5.047872,5.058208,5,10551956,10.063129,1.00348812,0.00174730997,0.996524004,0.0017351838,0.574999619,,,,,1,5
backprop,digit1_3,mixed,65536,5.053824,0.00873139806,5.040896,5.065184,5,10551956,10.063129,1.00333181,0.00228194187,0.99667925,0.00226681152,0.574999619,,,,,1,5
backprop,digit1_4,mixed,65536,5.0506624,0.00586008164,5.042624,5.058688,5,10551968,10.063141,1.00395988,0.0018873517,0.996055742,0.00187249265,0.575000272,,,,,1,5
backprop,digit1_5,mixed,65536,5.047008,0.00302581956,5.043136,5.050176,5,10551980,10.063152,1.00468682,0.00160350092,0.995335047,0.00158857531,0.575000926,,,,,1,5
backprop,digit1_6,mixed,65536,5.0511808,0.00600853153,5.04496,5.060736,5,10551980,10.063152,1.00385684,0.00190543312,0.996157977,0.00189081981,0.575000926,,,,,1,5
backprop,digit2_1,mixed,65536,5.048128,0.00555492718,5.040832,5.056064,5,10551952,10.063126,1.00446391,0.00185178983,0.995555926,0.00183536742,0.574999401,,,,,1,5
backprop,digit2_2,mixed,65536,5.0522496,0.00129736225,5.05088,5.054336,5,10551956,10.063129,1.00364448,0.00150673394,0.996368758,0.00149581118,0.574999619,,,,,1,5
backprop,digit2_3,mixed,65536,5.0493888,0.00664143021,5.043616,5.060032,5,10551956,10.063129,1.0042131,0.0019876944,0.995804572,0.00197105093,0.574999619,,,,,1,5
backprop,digit2_4,mixed,65536,5.0469056,0.00472243463,5.042144,5.054016,5,10551968,10.063141,1.0047072,0.00175849596,0.995314853,0.00174205693,0.575000272,,,,,1,5
backprop,digit2_5,mixed,65536,5.0495104,0.00459461389,5.043744,5.055712,5,10551980,10.063152,1.00418892,0.00174387752,0.995828553,0.00172935888,0.575000926,,,,,1,5
backprop,digit2_6,mixed,65536,5.0426816,0.00855883057,5.027904,5.048224,5,10551980,10.063152,1.00554879,0.00226384749,0.994481825,0.00223893181,0.575000926,,,,,1,5
dense_lu,digit1_1,mixed,5000,186.053369,2.12042264,183.207138,187.817657,5,50020016,47.702805,2.13743211,0.0259924088,0.467851116,0.00568933974,0.250075052,2.963313e-04,2.967942e-04,0.000296794173,0.000574280328,1,5
dense_lu,digit1_2,mixed,5000,235.620569,1.63065603,234.517853,238.418015,5,100020016,95.38652,1.68778323,0.0136999056,0.592493147,0.00480932624,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit1_3,mixed,5000,236.443512,1.90861487,234.523392,238.374969,5,100020016,95.38652,1.6819089,0.0153368998,0.594562525,0.00542166459,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit1_4,mixed,5000,237.026529,2.1454986,234.572098,238.672928,5,100020016,95.38652,1.67777188,0.0167714357,0.596028584,0.00595805376,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit1_5,mixed,5000,235.818457,1.66105098,234.585632,238.715225,5,100020016,95.38652,1.68636692,0.0138658041,0.592990758,0.00487574417,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit1_6,mixed,5000,237.69852,1.58785074,234.867035,238.59465,5,100020016,95.38652,1.6730287,0.0132386373,0.597718377,0.00472973165,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit1_7,mixed,5000,236.226752,1.90046177,234.504059,238.297638,5,100020016,95.38652,1.6834522,0.0153105918,0.594017459,0.00540244552,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit1_8,mixed,5000,236.855411,2.77205657,233.731262,239.386398,5,100020016,95.38652,1.678984,0.0209008379,0.595598289,0.00741430726,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit1_9,mixed,5000,236.938424,2.11503429,234.223007,238.688217,5,100020016,95.38652,1.67839576,0.0165876185,0.595807035,0.0058883727,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit1_10,mixed,5000,235.027524,1.48637831,234.177689,237.668167,5,100020016,95.38652,1.69204202,0.0128848584,0.591001872,0.00450046475,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit2_1,mixed,5000,184.635098,1.43075683,183.473541,187.123642,5,50020016,47.702805,2.15385076,0.019027178,0.464284722,0.00410150425,0.250075052,2.963313e-04,2.967942e-04,0.000296794173,0.000574280328,1,5
dense_lu,digit2_2,mixed,5000,235.262503,2.01105867,233.945145,238.706528,5,100020016,95.38652,1.69035202,0.0161304448,0.591592752,0.00564536508,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit2_3,mixed,5000,237.003204,2.09750837,234.405914,238.882462,5,100020016,95.38652,1.677937,0.0164674074,0.595969931,0.00584889636,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit2_4,mixed,5000,236.346466,2.05427705,234.374237,238.606689,5,100020016,95.38652,1.6825995,0.0162733441,0.594318493,0.00574798062,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit2_5,mixed,5000,235.662537,1.75295841,234.120804,238.359558,5,100020016,95.38652,1.68748267,0.0144495824,0.59259868,0.00507430603,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
dense_lu,digit2_6,mixed,5000,237.467969,2.13809766,234.559464,239.453629,5,100020016,95.38652,1.674653,0.0166675164,0.597138632,0.0059432121,0.500050035,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5
