benchmark,case,kernel_time_ms,kernel_time_ms_stddev,kernel_time_ms_min,kernel_time_ms_max,total_time_ms,total_time_ms_stddev,total_time_ms_min,total_time_ms_max,non_kernel_overhead_ms,device_allocation_bytes,device_allocation_mib,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,warmup_runs,measured_runs
backprop,double,5.0706624,0.00750020885,5.06064,5.081408,662.749542,15.2552559,646.134272,686.346496,657.67888,18351240,17.501106,,,,,1,5,
dense_lu,double,397.676446,1.68679599,395.983337,399.546356,1703.72413,12.7871987,1684.67635,1714.13478,1306.04768,200020016,190.753952,6.307961e-15,6.322394e-15,0,0,1,5,
hotspot,double,0.1081856,0.00576050664,0.102848,0.117056,787.431424,16.3105952,776.7808,816.304896,787.323238,6291456,6.000000,,,,,1,5,
backprop,digit1_1,5.044416,0.00616899084,5.035328,5.050208,670.921165,5.40170598,666.535936,678.000128,665.876749,10551952,10.063126,,,,,1,5,
backprop,digit1_2,5.0530368,0.00464234975,5.047872,5.058208,733.537382,145.05289,659.308544,992.727808,728.484345,10551956,10.063129,,,,,1,5,
backprop,digit1_3,5.053824,0.00873139806,5.040896,5.065184,664.699034,13.0234159,651.879168,680.928768,659.64521,10551956,10.063129,,,,,1,5,
backprop,digit1_4,5.0506624,0.00586008164,5.042624,5.058688,815.398964,263.487623,651.114496,1274.89818,810.348302,10551968,10.063141,,,,,1,5,
backprop,digit1_5,5.047008,0.00302581956,5.043136,5.050176,651.646925,9.14214069,640.27392,664.124672,646.599917,10551980,10.063152,,,,,1,5,
backprop,digit1_6,5.0511808,0.00600853153,5.04496,5.060736,652.28841,7.12178662,642.191872,661.539072,647.237229,10551980,10.063152,,,,,1,5,
backprop,digit2_1,5.048128,0.00555492718,5.040832,5.056064,663.400346,16.4331988,645.890816,682.28992,658.352218,10551952,10.063126,,,,,1,5,
backprop,digit2_2,5.0522496,0.00129736225,5.05088,5.054336,661.099264,9.36583566,651.933696,676.001536,656.047014,10551956,10.063129,,,,,1,5,
backprop,digit2_3,5.0493888,0.00664143021,5.043616,5.060032,652.953446,13.2340845,641.654272,674.691584,647.904057,10551956,10.063129,,,,,1,5,
backprop,digit2_4,5.0469056,0.00472243463,5.042144,5.054016,654.654771,8.6455649,644.028928,664.731392,649.607865,10551968,10.063141,,,,,1,5,
backprop,digit2_5,5.0495104,0.00459461389,5.043744,5.055712,668.003533,7.12387224,658.526464,678.60864,662.954023,10551980,10.063152,,,,,1,5,
backprop,digit2_6,5.0426816,0.00855883057,5.027904,5.048224,661.6768,13.6034806,650.183168,682.619648,656.634118,10551980,10.063152,,,,,1,5,
dense_lu,digit1_1,186.053369,2.12042264,183.207138,187.817657,1810.32796,8.70426165,1797.68832,1821.97018,1624.27459,50020016,47.702805,2.963313e-04,2.967942e-04,0.000296794173,0.000574280328,1,5,
dense_lu,digit1_2,235.620569,1.63065603,234.517853,238.418015,1513.19987,24.5354982,1496.23808,1556.39219,1277.5793,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit1_3,236.443512,1.90861487,234.523392,238.374969,1621.40482,176.481042,1529.83219,1936.36019,1384.96131,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit1_4,237.026529,2.1454986,234.572098,238.672928,1588.07117,117.761597,1518.73357,1797.96659,1351.04464,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit1_5,235.818457,1.66105098,234.585632,238.715225,1523.81205,12.3534454,1510.18086,1543.79546,1287.99359,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit1_6,237.69852,1.58785074,234.867035,238.59465,1530.9783,19.2417938,1497.6768,1544.11238,1293.27978,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit1_7,236.226752,1.90046177,234.504059,238.297638,1517.86112,24.9028422,1475.6736,1540.84224,1281.63437,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit1_8,236.855411,2.77205657,233.731262,239.386398,1530.75231,21.4756549,1508.66176,1559.74144,1293.8969,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit1_9,236.938424,2.11503429,234.223007,238.688217,1536.54973,13.0580518,1513.58515,1546.15526,1299.61131,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit1_10,235.027524,1.48637831,234.177689,237.668167,1536.02688,27.5291537,1511.25786,1579.05357,1300.99936,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
dense_lu,digit2_1,184.635098,1.43075683,183.473541,187.123642,1790.14845,18.7287913,1762.74534,1808.4224,1605.51335,50020016,47.702805,2.963313e-04,2.967942e-04,0.000296794173,0.000574280328,1,5,
dense_lu,digit2_2,235.262503,2.01105867,233.945145,238.706528,1526.83883,14.5226362,1505.05318,1544.42368,1291.57633,100020016,95.386520,1.793908e-06,1.793965e-06,1.79396463e-06,3.36493865e-06,1,5,
