run_id,benchmark,case,combination,digit,time_ratio_vs_double,time_ratio_vs_double_stddev,speedup_vs_double,memory_ratio_vs_double,device_allocation_mib,cpu_fp64_variables,cpu_lower_variables,wrapper_fp64_macro_count,wrapper_lower_macro_count,dominant_storage,dominant_storage_bytes,wrapper_signature
793868,backprop,double,,,1,0,1,1,17.501106,,,,,,,
793868,backprop,digit1_1,1,1,0.996232367,0.00150953789,1.00378188,0.574999401,10.063126,6,9,0,6,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:E5M2;BP_OUTPUT_T:E5M2;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:E5M2|BP_OUTPUT_T:E5M2|BP_SQUASH:E5M2
793868,backprop,digit1_2,1,2,0.995682701,0.00212540859,1.00433602,0.574999619,10.063129,6,9,0,6,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP16;BP_OUTPUT_T:FP16;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP16|BP_OUTPUT_T:FP16|BP_SQUASH:FP16
793868,backprop,digit1_3,1,3,0.996023873,0.00228458946,1.003992,0.574999619,10.063129,6,9,0,6,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP16;BP_OUTPUT_T:FP16;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP16|BP_OUTPUT_T:FP16|BP_SQUASH:FP16
793868,backprop,digit1_4,1,4,0.994994039,0.00153962024,1.00503115,0.575000272,10.063141,6,9,1,5,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP16;BP_OUTPUT_T:FP64;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP16|BP_OUTPUT_T:FP64|BP_SQUASH:FP16
793868,backprop,digit1_5,1,5,0.995415241,0.00138398122,1.00460588,0.575000926,10.063152,6,9,3,3,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP64;BP_OUTPUT_T:FP64;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP64|BP_OUTPUT_T:FP64|BP_SQUASH:FP64
793868,backprop,digit1_6,1,6,0.99772131,0.00210016982,1.00228389,0.575000926,10.063152,6,9,3,3,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP64;BP_OUTPUT_T:FP64;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP64|BP_OUTPUT_T:FP64|BP_SQUASH:FP64
793868,backprop,digit2_1,2,1,0.996108114,0.00146650174,1.00390709,0.574999401,10.063126,6,9,0,6,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:E5M2;BP_OUTPUT_T:E5M2;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:E5M2|BP_OUTPUT_T:E5M2|BP_SQUASH:E5M2
793868,backprop,digit2_2,2,2,0.995225701,0.00140584936,1.0047972,0.574999619,10.063129,6,9,0,6,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP16;BP_OUTPUT_T:FP16;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP16|BP_OUTPUT_T:FP16|BP_SQUASH:FP16
793868,backprop,digit2_3,2,3,0.994932966,0.00131862347,1.00509284,0.574999619,10.063129,6,9,0,6,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP16;BP_OUTPUT_T:FP16;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP16|BP_OUTPUT_T:FP16|BP_SQUASH:FP16
793868,backprop,digit2_4,2,4,0.994482282,0.00128849503,1.00554833,0.575000272,10.063141,6,9,1,5,BP_HIDDEN_H:E5M2;BP_OUTPUT_O:FP16;BP_OUTPUT_T:FP64;BP_ADJUST:E5M2,,BP_ADJUST:E5M2|BP_HIDDEN_H:E5M2|BP_HIDDEN_SUM:E5M2|BP_OUTPUT_O:FP16|BP_OUTPUT_T:FP64|BP_SQUASH:FP16
