benchmark,case,total_time_ms,pure_computation_time_ms,non_kernel_overhead_ms,memory_transfer_time_ms,type_conversion_time_ms,profiling_method,notes
backprop,double,662.749542,5.0706624,657.67888,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,double,1703.72413,397.676446,1306.04768,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,double,787.431424,0.1081856,787.323238,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit1_1,670.921165,5.044416,665.876749,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit1_2,733.537382,5.0530368,728.484345,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit1_3,664.699034,5.053824,659.64521,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit1_4,815.398964,5.0506624,810.348302,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit1_5,651.646925,5.047008,646.599917,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit1_6,652.28841,5.0511808,647.237229,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit2_1,663.400346,5.048128,658.352218,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit2_2,661.099264,5.0522496,656.047014,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit2_3,652.953446,5.0493888,647.904057,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit2_4,654.654771,5.0469056,649.607865,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit2_5,668.003533,5.0495104,662.954023,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
backprop,digit2_6,661.6768,5.0426816,656.634118,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_1,1810.32796,186.053369,1624.27459,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_2,1513.19987,235.620569,1277.5793,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_3,1621.40482,236.443512,1384.96131,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_4,1588.07117,237.026529,1351.04464,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_5,1523.81205,235.818457,1287.99359,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_6,1530.9783,237.69852,1293.27978,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_7,1517.86112,236.226752,1281.63437,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_8,1530.75231,236.855411,1293.8969,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_9,1536.54973,236.938424,1299.61131,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit1_10,1536.02688,235.027524,1300.99936,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_1,1790.14845,184.635098,1605.51335,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_2,1526.83883,235.262503,1291.57633,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_3,1530.59676,237.003204,1293.59356,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_4,1550.53271,236.346466,1314.18624,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_5,1556.87286,235.662537,1321.21032,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_6,1543.26303,237.467969,1305.79506,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_7,1532.73462,237.815244,1294.91938,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_8,1547.72546,237.940256,1309.7852,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_9,1533.615,238.274799,1295.3402,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
dense_lu,digit2_10,1542.61709,236.433127,1306.18396,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_1,772.501299,0.1094656,772.391833,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_2,764.828518,0.1126464,764.715872,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_3,823.213311,0.109984,823.103327,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_4,764.784845,0.1134528,764.671392,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_5,763.135642,0.1117632,763.023879,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_6,766.36247,0.1089728,766.253497,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_7,767.581286,0.1127296,767.468556,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_8,782.985677,0.1155584,782.870119,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
hotspot,digit1_9,774.228838,0.1184448,774.110393,,,cuda_event_kernel_plus_host_wall_clock,memory transfer and type conversion require instrumented CUDA regions or Nsight traces
