Folder,Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
backprop/,1,1,6,9,0,0,0,0
backprop/,1,2,6,9,0,0,0,0
backprop/,1,3,6,9,0,0,0,0
backprop/,1,4,6,9,0,0,0,0
backprop/,1,5,6,9,0,0,0,0
backprop/,1,6,6,9,0,0,0,0
backprop/,1,7,0,0,0,0,0,0
backprop/,1,8,0,0,0,0,0,0
backprop/,1,9,0,0,0,0,0,0
backprop/,1,10,0,0,0,0,0,0
backprop/,2,1,6,2,0,7,0,0
backprop/,2,2,6,2,0,7,0,0
backprop/,2,3,6,5,0,4,0,0
backprop/,2,4,6,6,0,3,0,0
backprop/,2,5,6,6,0,3,0,0
backprop/,2,6,6,6,0,3,0,0
backprop/,2,7,0,0,0,0,0,0
backprop/,2,8,0,0,0,0,0,0
backprop/,2,9,0,0,0,0,0,0
backprop/,2,10,0,0,0,0,0,0
hotspot/,1,1,13,18,0,0,0,0
hotspot/,1,2,13,18,0,0,0,0
hotspot/,1,3,13,18,0,0,0,0
hotspot/,1,4,13,18,0,0,0,0
hotspot/,1,5,13,18,0,0,0,0
hotspot/,1,6,13,18,0,0,0,0
hotspot/,1,7,13,18,0,0,0,0
hotspot/,1,8,13,18,0,0,0,0
hotspot/,1,9,13,18,0,0,0,0
hotspot/,1,10,13,18,0,0,0,0
hotspot/,2,1,13,0,0,18,0,0
hotspot/,2,2,13,0,0,18,0,0
hotspot/,2,3,13,0,0,18,0,0
hotspot/,2,4,13,0,0,18,0,0
hotspot/,2,5,13,0,0,18,0,0
hotspot/,2,6,13,0,0,18,0,0
hotspot/,2,7,13,0,0,18,0,0
hotspot/,2,8,13,0,0,18,0,0
hotspot/,2,9,13,1,0,17,0,0
hotspot/,2,10,13,4,0,14,0,0
particle_filter/,1,1,22,21,0,0,0,0
particle_filter/,1,2,23,20,0,0,0,0
particle_filter/,1,3,23,20,0,0,0,0
particle_filter/,1,4,23,20,0,0,0,0
particle_filter/,1,5,23,20,0,0,0,0
particle_filter/,1,6,23,20,0,0,0,0
particle_filter/,1,7,25,18,0,0,0,0
particle_filter/,1,8,30,13,0,0,0,0
particle_filter/,1,9,31,12,0,0,0,0
particle_filter/,1,10,31,12,0,0,0,0
particle_filter/,2,1,22,4,0,17,0,0
particle_filter/,2,2,23,11,0,9,0,0
particle_filter/,2,3,23,11,0,9,0,0
particle_filter/,2,4,23,11,0,9,0,0
particle_filter/,2,5,23,11,0,9,0,0
particle_filter/,2,6,23,11,0,9,0,0
particle_filter/,2,7,25,9,0,9,0,0
particle_filter/,2,8,30,4,0,9,0,0
particle_filter/,2,9,31,3,0,9,0,0
particle_filter/,2,10,31,3,0,9,0,0
srad_v2/,1,1,0,11,0,0,0,0
srad_v2/,1,2,0,11,0,0,0,0
srad_v2/,1,3,0,11,0,0,0,0
srad_v2/,1,4,0,11,0,0,0,0
srad_v2/,1,5,6,5,0,0,0,0
srad_v2/,1,6,6,5,0,0,0,0
srad_v2/,1,7,7,4,0,0,0,0
srad_v2/,1,8,10,1,0,0,0,0
srad_v2/,1,9,10,1,0,0,0,0
srad_v2/,1,10,10,1,0,0,0,0
srad_v2/,2,1,0,6,0,5,0,0
srad_v2/,2,2,0,6,0,5,0,0
srad_v2/,2,3,0,9,0,2,0,0
srad_v2/,2,4,0,10,0,1,0,0
srad_v2/,2,5,6,4,0,1,0,0
srad_v2/,2,6,6,4,0,1,0,0
srad_v2/,2,7,7,3,0,1,0,0
srad_v2/,2,8,10,0,0,1,0,0
srad_v2/,2,9,10,0,0,1,0,0
srad_v2/,2,10,10,0,0,1,0,0
dense_lu/,1,1,55,15,0,0,0,0
dense_lu/,1,2,55,15,0,0,0,0
dense_lu/,1,3,55,15,0,0,0,0
dense_lu/,1,4,56,14,0,0,0,0
dense_lu/,1,5,56,14,0,0,0,0
dense_lu/,1,6,57,13,0,0,0,0
dense_lu/,1,7,57,13,0,0,0,0
dense_lu/,1,8,57,13,0,0,0,0
dense_lu/,1,9,57,13,0,0,0,0
dense_lu/,1,10,57,13,0,0,0,0
dense_lu/,2,1,55,4,0,11,0,0
dense_lu/,2,2,55,4,0,11,0,0
dense_lu/,2,3,55,4,0,11,0,0
dense_lu/,2,4,56,3,0,11,0,0
dense_lu/,2,5,56,3,0,11,0,0
dense_lu/,2,6,57,2,0,11,0,0
dense_lu/,2,7,57,2,0,11,0,0
dense_lu/,2,8,57,2,0,11,0,0
dense_lu/,2,9,57,2,0,11,0,0
dense_lu/,2,10,57,2,0,11,0,0
sparse_lu/,1,1,31,16,0,0,0,0
sparse_lu/,1,2,31,16,0,0,0,0
sparse_lu/,1,3,31,16,0,0,0,0
sparse_lu/,1,4,31,16,0,0,0,0
sparse_lu/,1,5,31,16,0,0,0,0
sparse_lu/,1,6,31,16,0,0,0,0
sparse_lu/,1,7,32,15,0,0,0,0
sparse_lu/,1,8,35,12,0,0,0,0
sparse_lu/,1,9,35,12,0,0,0,0
sparse_lu/,1,10,35,12,0,0,0,0
sparse_lu/,2,1,31,1,0,15,0,0
sparse_lu/,2,2,31,1,0,15,0,0
sparse_lu/,2,3,31,5,0,11,0,0
sparse_lu/,2,4,31,5,0,11,0,0
sparse_lu/,2,5,31,5,0,11,0,0
sparse_lu/,2,6,31,5,0,11,0,0
sparse_lu/,2,7,32,4,0,11,0,0
sparse_lu/,2,8,35,1,0,11,0,0
sparse_lu/,2,9,35,1,0,11,0,0
sparse_lu/,2,10,35,1,0,11,0,0
