benchmark,case,precision,input_size,time_ms,time_ms_stddev,time_ms_min,time_ms_max,time_ms_runs,device_allocation_bytes,device_allocation_mib,speedup_vs_double,speedup_vs_double_stddev,time_ratio_vs_double,time_ratio_vs_double_stddev,memory_ratio_vs_double,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,output_delta_mse_vs_double,output_delta_l2_error_vs_double,output_delta_linf_error_vs_double,output_l2_error_vs_double,output_linf_error_vs_double,warmup_runs,measured_runs
hotspot,double,double,512x512x2,0.118112,0.00771040647,0.110688,0.12608,3,6291456,6,1,0,1,0,1,,,,,,,,0,0,1,3
hotspot,digit1_1,mixed,512x512x2,0.110602667,0.00127371792,0.109728,0.112064,3,786432,0.75,1.06789468,0.0707891045,0.93642193,0.0620739769,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_10,mixed,512x512x2,0.110250667,0.0027110126,0.108288,0.113344,3,3145728,3,1.07130418,0.0747320826,0.933441708,0.0651150666,0.5,,,,,,,,5.17958937e-07,2.99694611e-06,1,3
hotspot,digit1_2,mixed,512x512x2,0.117674667,0.00981270143,0.109632,0.128608,3,786432,0.75,1.00371646,0.106295248,0.996297303,0.105509547,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_3,mixed,512x512x2,0.109738667,0.00166932481,0.10784,0.110976,3,786432,0.75,1.07630249,0.0721438962,0.929106839,0.0622774623,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_4,mixed,512x512x2,0.112138667,0.00181508935,0.110816,0.114208,3,786432,0.75,1.05326738,0.0708398045,0.949426536,0.0638557611,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_5,mixed,512x512x2,0.111818667,0.00267966963,0.110208,0.114912,3,786432,0.75,1.0562816,0.0734539832,0.946717243,0.0658348614,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_6,mixed,512x512x2,0.1072,0.00140362958,0.105664,0.108416,3,786432,0.75,1.10179104,0.0733579446,0.907613113,0.0604294551,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_7,mixed,512x512x2,0.112074667,0.0031355646,0.109984,0.11568,3,786432,0.75,1.05386885,0.0748490094,0.948884677,0.0673927106,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_8,mixed,512x512x2,0.116330667,0.00899116485,0.108768,0.126272,3,1572864,1.5,1.01531267,0.102718538,0.984918272,0.0996435559,0.25,,,,,,,,0.000221452706,0.000374618264,1,3
hotspot,digit1_9,mixed,512x512x2,0.120266667,0.0105177498,0.110848,0.131616,3,1572864,1.5,0.982084254,0.107176249,1.01824257,0.111122258,0.25,,,,,,,,0.000221452706,0.000374618264,1,3
hotspot,digit2_1,mixed,512x512x2,0.112224,0.00419566252,0.109504,0.117056,3,786432,0.75,1.0524665,0.0791752131,0.950149011,0.0714780478,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_10,mixed,512x512x2,0.104714667,0.0014766304,0.103648,0.1064,3,3145728,3,1.12794132,0.0753308656,0.886570941,0.0592106655,0.5,,,,,,,,5.17958937e-07,2.99694611e-06,1,3
hotspot,digit2_2,mixed,512x512x2,0.134517333,0.00746569898,0.130048,0.143136,3,786432,0.75,0.878042981,0.0752343922,1.13889641,0.0975854044,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_3,mixed,512x512x2,0.121557333,0.00444815347,0.117344,0.126208,3,786432,0.75,0.971656724,0.0727159652,1.02917005,0.0770200953,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_4,mixed,512x512x2,0.112298667,0.00312231026,0.108704,0.114336,3,786432,0.75,1.05176671,0.0746278772,0.950781182,0.0674624709,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_5,mixed,512x512x2,0.114506667,0.00275726628,0.111968,0.11744,3,786432,0.75,1.03148579,0.0717706813,0.969475303,0.0674559975,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_6,mixed,512x512x2,0.111658667,0.00173578493,0.110112,0.113536,3,786432,0.75,1.05779518,0.0709842876,0.945362597,0.0634393988,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_7,mixed,512x512x2,0.116608,0.00541254247,0.111328,0.122144,3,786432,0.75,1.01289791,0.0811332908,0.987266323,0.0790801961,0.125,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_8,mixed,512x512x2,0.113205333,0.00433896086,0.110176,0.118176,3,1572864,1.5,1.04334307,0.078981781,0.958457506,0.0725558858,0.25,,,,,,,,0.000221452706,0.000374618264,1,3
hotspot,digit2_9,mixed,512x512x2,0.122506667,0.019602771,0.110336,0.14512,3,1572864,1.5,0.96412712,0.166618326,1.03720762,0.179247938,0.25,,,,,,,,0.000221452706,0.000374618264,1,3
