benchmark,case,time_ms,time_ms_stddev,time_ms_min,time_ms_max,time_ms_runs,device_allocation_bytes,device_allocation_mib,relative_residual,relative_error,solution_l2_error_vs_double,solution_linf_error_vs_double,output_delta_mse_vs_double,output_delta_l2_error_vs_double,output_delta_linf_error_vs_double,output_l2_error_vs_double,output_linf_error_vs_double,warmup_runs,measured_runs
hotspot,double,0.118112,0.00771040647,0.110688,0.12608,3,6291456,6.000000,,,,,,,,0,0,1,3
hotspot,digit1_1,0.110602667,0.00127371792,0.109728,0.112064,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_10,0.110250667,0.0027110126,0.108288,0.113344,3,3145728,3.000000,,,,,,,,5.17958937e-07,2.99694611e-06,1,3
hotspot,digit1_2,0.117674667,0.00981270143,0.109632,0.128608,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_3,0.109738667,0.00166932481,0.10784,0.110976,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_4,0.112138667,0.00181508935,0.110816,0.114208,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_5,0.111818667,0.00267966963,0.110208,0.114912,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_6,0.1072,0.00140362958,0.105664,0.108416,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_7,0.112074667,0.0031355646,0.109984,0.11568,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit1_8,0.116330667,0.00899116485,0.108768,0.126272,3,1572864,1.500000,,,,,,,,0.000221452706,0.000374618264,1,3
hotspot,digit1_9,0.120266667,0.0105177498,0.110848,0.131616,3,1572864,1.500000,,,,,,,,0.000221452706,0.000374618264,1,3
hotspot,digit2_1,0.112224,0.00419566252,0.109504,0.117056,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_10,0.104714667,0.0014766304,0.103648,0.1064,3,3145728,3.000000,,,,,,,,5.17958937e-07,2.99694611e-06,1,3
hotspot,digit2_2,0.134517333,0.00746569898,0.130048,0.143136,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_3,0.121557333,0.00444815347,0.117344,0.126208,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_4,0.112298667,0.00312231026,0.108704,0.114336,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_5,0.114506667,0.00275726628,0.111968,0.11744,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_6,0.111658667,0.00173578493,0.110112,0.113536,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_7,0.116608,0.00541254247,0.111328,0.122144,3,786432,0.750000,,,,,,,,0.0202515913,0.0409772442,1,3
hotspot,digit2_8,0.113205333,0.00433896086,0.110176,0.118176,3,1572864,1.500000,,,,,,,,0.000221452706,0.000374618264,1,3
hotspot,digit2_9,0.122506667,0.019602771,0.110336,0.14512,3,1572864,1.500000,,,,,,,,0.000221452706,0.000374618264,1,3
