case,combination,digit,relative_l2_error_vs_double,relative_linf_error_vs_double
digit1_1,1,1,0.00029679417284805593,0.0005742803279299304
digit1_2,1,2,1.7939646319389265e-06,3.364938654937178e-06
digit1_3,1,3,1.7939646319389265e-06,3.364938654937178e-06
digit1_4,1,4,1.7939646319389265e-06,3.364938654937178e-06
digit1_5,1,5,1.7939646319389265e-06,3.364938654937178e-06
digit1_6,1,6,1.7939646319389265e-06,3.364938654937178e-06
digit1_7,1,7,1.7939646319389265e-06,3.364938654937178e-06
digit1_8,1,8,1.7939646319389265e-06,3.364938654937178e-06
digit1_9,1,9,1.7939646319389265e-06,3.364938654937178e-06
digit1_10,1,10,1.7939646319389265e-06,3.364938654937178e-06
digit2_1,2,1,0.00029679417284805593,0.0005742803279299304
digit2_2,2,2,1.7939646319389265e-06,3.364938654937178e-06
digit2_3,2,3,1.7939646319389265e-06,3.364938654937178e-06
digit2_4,2,4,1.7939646319389265e-06,3.364938654937178e-06
digit2_5,2,5,1.7939646319389265e-06,3.364938654937178e-06
digit2_6,2,6,1.7939646319389265e-06,3.364938654937178e-06
digit2_7,2,7,1.7939646319389265e-06,3.364938654937178e-06
digit2_8,2,8,1.7939646319389265e-06,3.364938654937178e-06
digit2_9,2,9,1.7939646319389265e-06,3.364938654937178e-06
digit2_10,2,10,1.7939646319389265e-06,3.364938654937178e-06
