Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
1,1,94,16,0,0,2,0
1,2,94,16,0,0,2,0
1,3,94,16,0,0,2,0
1,4,94,16,0,0,2,0
1,5,95,15,0,0,2,0
1,6,0,0,0,0,0,0
1,7,0,0,0,0,0,0
1,8,0,0,0,0,0,0
1,9,0,0,0,0,0,0
1,10,0,0,0,0,0,0
2,1,94,16,0,0,0,2
2,2,94,16,0,0,0,2
2,3,94,16,0,0,0,2
2,4,94,16,0,0,0,2
2,5,95,15,0,0,0,2
2,6,0,0,0,0,0,0
2,7,0,0,0,0,0,0
2,8,0,0,0,0,0,0
2,9,0,0,0,0,0,0
2,10,0,0,0,0,0,0
3,1,94,4,0,0,14,0
3,2,94,4,0,0,14,0
3,3,94,4,0,0,14,0
3,4,94,4,0,0,14,0
3,5,95,3,0,0,14,0
3,6,0,0,0,0,0,0
3,7,0,0,0,0,0,0
3,8,0,0,0,0,0,0
3,9,0,0,0,0,0,0
3,10,0,0,0,0,0,0
4,1,94,4,0,0,0,14
4,2,94,4,0,0,0,14
4,3,94,4,0,0,0,14
4,4,94,4,0,0,0,14
4,5,0,0,0,0,0,0
4,6,0,0,0,0,0,0
4,7,0,0,0,0,0,0
4,8,0,0,0,0,0,0
4,9,0,0,0,0,0,0
4,10,0,0,0,0,0,0
