Precision Setting,Significant Digits,FP64,FP32,FP16,BF16,E4M3,E5M2
1,1,64,24,2,0,0,0
1,2,67,21,2,0,0,0
1,3,69,19,2,0,0,0
1,4,79,11,0,0,0,0
1,5,80,10,0,0,0,0
1,6,82,8,0,0,0,0
1,7,82,8,0,0,0,0
1,8,83,7,0,0,0,0
1,9,83,7,0,0,0,0
1,10,83,7,0,0,0,0
2,1,64,24,0,0,0,2
2,2,67,21,0,0,0,2
2,3,69,19,2,0,0,0
2,4,79,11,0,0,0,0
2,5,80,10,0,0,0,0
2,6,82,8,0,0,0,0
2,7,82,8,0,0,0,0
2,8,83,7,0,0,0,0
2,9,83,7,0,0,0,0
2,10,83,7,0,0,0,0
3,1,64,14,0,6,6,0
3,2,67,14,0,3,6,0
3,3,69,10,0,5,6,0
3,4,79,2,0,6,3,0
3,5,80,3,0,4,3,0
3,6,82,1,0,4,3,0
3,7,82,1,0,4,3,0
3,8,83,0,0,4,3,0
3,9,83,0,0,4,3,0
3,10,83,0,0,4,3,0
4,1,64,14,0,1,0,11
4,2,67,14,0,0,0,9
4,3,69,10,0,1,0,10
4,4,79,2,0,4,0,5
4,5,80,3,0,2,0,5
4,6,82,1,0,3,0,4
4,7,82,1,0,3,0,4
4,8,83,0,0,3,0,4
4,9,83,0,0,3,0,4
4,10,83,0,0,3,0,4
