feature1,feature2,...,true_label,cluster
-1.73136,0.790783,0.67276,1,0
-1.72997,-1.28328,0.635702,1,0
-1.72859,0.486244,0.173288,0,0
-1.7272,-0.454219,0.578983,0,0
-1.72582,-1.15743,0.552524,0,0
-1.72443,1.01133,0.358169,1,0
-1.72304,0.876619,0.277612,0,0
-1.72166,0.577399,0.353109,1,0
-1.72027,1.11377,0.860328,0,0
-1.71889,1.86439,0.720993,0,0
-1.7175,-2.00094,0.783118,0,0
-1.71612,0.995794,0.328245,0,0
-1.71473,0.995532,0.76306,1,0
-1.71334,-1.1781,0.576109,0,0
-1.71196,1.72877,0.647647,1,0
-1.71057,0.757827,0.317651,0,0
-1.70919,-1.24239,0.386807,0,0
-1.7078,0.609939,0.988042,0,0
-1.70642,-1.02341,0.982094,1,0
-1.70503,-0.244185,0.334481,0,0
-1.70365,-1.48287,1.17045,1,0
-1.70226,1.15459,0.396931,0,0
-1.70087,0.795352,0.866452,1,0
-1.69949,-1.10737,0.908934,1,0
-1.6981,1.56603,-0.264984,0,0
-1.69672,-1.68338,1.22581,0,0
-1.69533,-1.76507,0.596159,0,0
-1.69395,1.90423,0.765381,1,0
-1.69256,-1.04383,1.17069,1,0
-1.69117,0.479424,-0.00350835,0,0
-1.68979,1.29682,0.507754,1,0
-1.6884,0.998902,1.38675,1,0
-1.68702,-1.53334,1.16486,1,0
-1.68563,1.05427,-0.0439917,0,0
-1.68425,-0.527008,1.02575,0,0
-1.68286,-1.23172,1.03598,0,0
-1.68148,0.154712,0.396073,0,0
-1.68009,0.62008,0.422663,1,0
-1.6787,0.525695,0.571076,1,0
-1.67732,0.937021,-0.0577342,1,0
-1.67593,-1.65132,0.964733,1,0
-1.67455,-1.21124,0.393399,1,0
-1.67316,1.44725,0.400245,0,0
-1.67178,1.40408,0.463791,0,0
-1.67039,-0.868773,1.71915,0,0
-1.669,-1.04095,0.856157,1,0
-1.66762,1.2525,1.15907,1,0
-1.66623,0.538636,0.612009,0,0
-1.66485,0.980771,0.493537,0,0
-1.66346,0.966542,0.85337,1,0
-1.66208,1.6873,0.486745,1,0
-1.66069,-0.753085,0.583579,0,0
-1.6593,-1.53626,0.822877,1,0
-1.65792,1.10043,0.326156,0,0
-1.65653,-0.566407,0.75484,0,0
-1.65515,-0.742733,0.726552,0,0
-1.65376,-1.11105,0.644267,1,0
-1.65238,1.09643,0.0403526,1,0
-1.65099,-1.29272,1.43232,0,0
-1.64961,1.09488,1.12585,1,0
-1.64822,-0.895415,0.824886,0,0
-1.64683,-0.954543,0.534625,0,0
-1.64545,-1.97272,1.31951,0,0
-1.64406,1.16475,0.65423,1,0
-1.64268,1.34873,0.774216,1,0
-1.64129,-0.619906,1.01371,1,0
-1.63991,0.629246,-0.301258,0,0
-1.63852,0.716669,-0.0108493,1,0
-1.63713,0.0209094,0.309949,1,0
-1.63575,-0.976689,0.0807207,0,0
-1.63436,1.44904,-0.47301,1,0
-1.63298,0.576879,0.126134,0,0
-1.63159,-1.12117,1.35597,0,0
-1.63021,1.97,0.190109,1,0
-1.62882,0.880728,0.517913,0,0
-1.62744,1.03186,0.393246,0,0
-1.62605,-1.56111,1.62605,0,0
-1.62466,-1.3547,0.807734,1,0
-1.62328,-1.19892,0.851866,0,0
-1.62189,-1.0482,0.443243,1,0
-1.62051,-0.906994,0.835856,0,0
-1.61912,0.865128,0.294567,1,0
-1.61774,1.31924,0.0528748,1,0
-1.61635,-1.26274,0.673497,1,0
-1.61496,-1.39476,0.772044,1,0
-1.61358,1.38082,0.201752,1,0
-1.61219,-1.4088,1.7418,0,0
-1.61081,-1.07368,1.18547,1,0
-1.60942,-1.08532,1.02301,1,0
-1.60804,-0.920433,0.973584,1,0
-1.60665,-0.853065,0.633357,1,0
-1.60526,1.30613,0.0414593,0,0
-1.60388,-0.429812,0.605299,1,0
-1.60249,1.98818,0.862957,1,0
