centroid_index,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0,0.999851,4.26343,2.05827,0.907499,-1.51703,2.93611,-1.27616,7.79375,9.22358,-2.33523,5.85125,0.602904,1.35867,8.58479,-8.60143,-8.23217,-9.61123,6.63685,5.51863,7.37111
1,4.01404,-2.2716,6.91686,6.08072,-3.27794,1.82437,-3.87188,-1.27596,-1.15592,2.43043,0.660417,2.80608,-1.61367,-3.99996,3.84833,-0.129367,4.58571,2.3321,5.34195,1.25684
2,-6.96055,2.71868,1.08338,-4.94036,8.69335,2.19946,0.818009,1.98256,4.31076,-3.73149,-2.00761,-6.11203,-6.42519,8.95854,4.71535,-0.353324,-5.66065,-4.77177,-9.03331,-1.37201
3,-6.83362,-7.80258,3.11579,-7.21281,-6.06607,-2.63384,6.41423,-8.0465,6.79293,-8.11637,9.52474,-0.613364,9.53303,2.07394,4.76006,-9.20774,-4.34259,-7.57472,-4.07505,-7.65048
4,-3.63593,-1.6697,-8.7011,3.84583,1.2966,-4.70504,0.488966,-8.11629,1.53259,8.61155,-3.56633,3.36321,-7.32684,4.37064,-4.18581,-6.3219,1.726,-9.56671,6.57707,-9.86403
5,9.59687,5.97793,-0.808002,5.60679,-7.66061,2.80175,-7.12701,8.92849,0.417801,-1.72286,-4.72018,5.48541,-0.880797,1.34603,-9.60703,2.32217,2.25574,2.29555,8.86174,3.67303
6,7.93915,-2.64632,-1.26644,7.80619,6.17719,4.14448,-7.97837,8.34966,4.28148,9.98816,-6.96459,7.38875,-6.76394,2.29383,-7.5639,6.96059,6.18776,1.388,-1.84267,-8.57273
7,-2.89414,-1.28511,3.99182,-8.79203,3.31452,3.41766,-5.76124,-7.45214,-3.64543,-2.74032,1.39905,-1.23217,9.78209,-7.89184,-5.86151,-6.75811,3.04186,-4.89979,-0.664897,-5.11082
8,-6.49908,2.21775,2.02628,-5.49691,8.69251,2.28768,0.573103,1.47492,4.8448,-3.79917,-2.12944,-5.44086,-6.07611,8.84267,4.81403,-0.00733986,-5.35925,-5.09314,-8.59256,-1.31521
9,3.97784,-0.934126,4.46381,7.40434,9.48308,7.14508,-9.80177,-2.80458,4.6246,-6.5617,0.380244,-8.94662,-6.01114,-9.57624,5.89081,-5.49602,-3.14125,8.56509,4.02368,-9.35613
