point_index,cluster_label
0,1
1,1
2,1
3,1
4,9
5,6
6,2
7,0
8,7
9,2
10,6
11,9
12,4
13,3
14,7
15,8
16,7
17,8
18,7
19,1
20,6
21,6
22,4
23,7
24,4
25,4
26,9
27,1
28,9
29,4
30,5
31,7
32,8
33,3
34,5
35,4
36,1
37,4
38,4
39,0
40,0
41,1
42,7
43,0
44,4
45,4
46,6
47,5
48,0
49,2
50,1
51,8
52,5
53,4
54,8
55,3
56,1
57,1
58,1
59,5
60,1
61,8
62,9
63,6
64,1
65,5
66,1
67,6
68,7
69,6
70,9
71,9
72,9
73,2
74,0
75,6
76,7
77,7
78,4
79,1
80,6
81,3
82,4
83,6
84,3
85,9
86,2
87,1
88,5
89,5
90,1
91,4
92,0
93,9
94,9
95,1
96,5
97,5
98,4
99,1
100,9
101,4
102,3
103,0
104,4
105,1
106,6
107,1
108,9
109,9
110,7
111,4
112,5
113,1
114,2
115,9
116,3
117,0
118,9
119,9
120,3
121,5
122,5
123,8
124,5
125,1
126,5
127,4
128,9
129,1
130,0
131,5
132,3
133,5
134,7
135,7
136,4
137,7
138,1
139,4
140,8
141,9
142,6
143,1
144,5
145,2
146,1
147,6
148,0
149,1
150,4
151,2
152,7
153,9
154,8
155,0
156,5
157,3
158,5
159,4
160,8
161,1
162,0
163,1
164,8
165,5
166,7
167,8
168,3
169,4
170,4
171,9
172,6
173,4
174,1
175,1
176,3
177,1
178,6
179,4
180,4
181,1
182,3
183,4
184,1
185,1
186,5
187,4
188,9
189,8
190,5
191,2
192,0
193,7
194,9
195,6
196,2
197,4
198,1
199,6
200,7
201,8
202,0
203,1
204,1
205,4
206,1
207,7
208,3
209,8
210,6
211,3
212,1
213,0
214,5
215,0
216,1
217,7
218,2
219,1
220,7
221,0
222,5
223,2
224,8
225,6
226,9
227,8
228,3
229,2
230,0
231,0
232,2
233,0
234,5
235,1
236,6
237,8
238,2
239,1
240,4
241,5
242,4
243,3
244,3
245,2
246,5
247,1
248,8
249,1
250,1
251,3
252,2
253,5
254,7
255,0
256,6
257,6
258,1
259,6
260,4
261,3
262,0
263,4
264,5
265,4
266,2
267,5
268,1
269,1
270,0
271,5
272,8
273,2
274,3
275,7
276,4
277,4
278,5
279,1
280,3
281,1
282,0
283,0
284,3
285,1
286,1
287,6
288,4
289,7
290,9
291,6
292,1
293,6
294,4
295,5
296,4
297,4
298,5
299,7
300,3
301,7
302,6
303,7
304,1
305,1
306,7
307,1
308,9
309,8
310,1
311,9
312,3
313,9
314,8
315,6
316,9
317,3
318,6
319,1
320,4
321,4
322,9
323,3
324,9
325,6
326,1
327,1
328,4
329,7
330,1
331,7
332,5
333,1
334,2
335,1
336,1
337,7
338,7
339,5
340,1
341,5
342,1
343,1
344,1
345,0
346,4
347,1
348,6
349,6
350,8
351,9
352,9
353,1
354,3
355,5
356,1
357,4
358,3
359,5
360,0
361,7
362,2
363,1
364,1
365,0
366,9
367,3
368,2
369,1
370,1
371,0
372,1
373,2
374,1
375,9
376,1
377,5
378,9
379,7
380,1
381,1
382,5
383,9
384,2
385,5
386,7
387,8
388,9
389,7
390,5
391,9
392,1
393,7
394,7
395,3
396,6
397,1
398,1
399,3
400,9
401,7
402,9
403,4
404,5
405,5
406,7
407,9
408,8
409,9
410,4
411,8
412,9
413,5
414,1
415,6
416,8
417,6
418,1
419,1
420,9
421,3
422,1
423,6
424,1
425,5
426,3
427,1
428,1
429,8
430,2
431,0
432,4
433,0
434,1
435,4
436,5
437,6
438,8
439,9
440,4
441,5
442,1
443,5
444,1
445,4
446,2
447,0
448,6
449,5
450,1
451,4
452,6
453,0
454,0
455,3
456,7
457,6
458,5
459,0
460,4
461,4
462,3
463,2
464,0
465,7
466,3
467,0
468,3
469,7
470,9
471,6
472,6
473,1
474,8
475,3
476,1
477,7
478,5
479,1
480,9
481,6
482,5
483,3
484,1
485,6
486,4
487,4
488,4
489,5
490,6
491,4
492,1
493,2
494,6
495,0
496,0
497,9
498,9
499,9
500,7
501,8
502,5
503,1
504,5
505,7
506,5
507,5
508,4
509,3
510,1
511,7
512,4
513,7
514,1
515,0
516,6
517,9
518,1
519,2
520,1
521,8
522,4
523,1
524,3
525,1
526,2
527,2
528,4
529,3
530,7
531,0
532,3
533,2
534,6
535,7
536,5
537,5
538,3
539,7
540,7
541,3
542,0
543,8
544,1
545,6
546,9
547,8
548,6
549,7
550,4
551,9
552,1
553,5
554,4
555,8
556,7
557,5
558,0
559,5
560,3
561,2
562,1
563,5
564,6
565,5
566,9
567,4
568,7
569,7
570,6
571,3
572,4
573,4
574,7
575,6
576,4
577,7
578,7
579,6
580,5
581,6
582,1
583,1
584,1
585,0
586,6
587,8
588,6
589,8
590,5
591,4
592,6
593,5
594,4
595,4
596,0
597,9
598,4
599,9
600,3
601,2
602,9
603,4
604,4
605,3
606,5
607,0
608,6
609,8
610,6
611,3
612,8
613,4
614,7
615,1
616,1
617,1
618,1
619,9
620,1
621,0
622,7
623,1
624,6
625,1
626,5
627,4
628,1
629,7
630,1
631,4
632,1
633,6
634,3
635,2
636,9
637,4
638,3
639,1
640,7
641,9
642,9
643,8
644,1
645,1
646,9
647,1
648,4
649,5
650,9
651,3
652,1
653,3
654,5
655,6
656,3
657,7
658,3
659,0
660,1
661,2
662,8
663,1
664,2
665,5
666,9
667,8
668,8
669,5
670,7
671,5
672,0
673,4
674,3
675,4
676,7
677,2
678,4
679,0
680,4
681,1
682,5
683,9
684,0
685,7
686,2
687,4
688,3
689,9
690,3
691,9
692,3
693,4
694,1
695,8
696,2
697,4
698,4
699,6
700,6
701,0
702,6
703,4
704,6
705,9
706,3
707,6
708,3
709,1
710,4
711,9
712,3
713,0
714,0
715,4
716,1
717,6
718,8
719,0
720,8
721,3
722,4
723,1
724,6
725,8
726,3
727,1
728,2
729,2
730,4
731,1
732,1
733,6
734,3
735,7
736,9
737,3
738,0
739,1
740,0
741,0
742,0
743,7
744,7
745,7
746,1
747,3
748,1
749,1
750,4
751,3
752,5
753,5
754,9
755,1
756,5
757,1
758,8
759,1
760,5
761,5
762,7
763,1
764,5
765,0
766,3
767,6
768,6
769,0
770,8
771,7
772,3
773,7
774,9
775,1
776,0
777,1
778,5
779,7
780,0
781,6
782,1
783,8
784,7
785,0
786,9
787,7
788,4
789,7
790,5
791,1
792,1
793,7
794,5
795,3
796,1
797,6
798,9
799,6
800,0
801,2
802,1
803,0
804,0
805,3
806,6
807,8
808,0
809,1
810,8
